Unnamed: 0,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4,mean,std,median,max,min,20_число,21_число,22_число,23_число,y
2015-01-30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,317700.0,165868.5222297067,256900.0,673300.0,181400.0,0,0,0,0,192000.0
2015-01-31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,248942.85714285713,59624.5435242588,241700.0,340600.0,181400.0,0,0,0,0,124000.0
2015-02-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,235571.42857142858,76056.22293815996,241700.0,340600.0,124000.0,0,0,0,0,83700.0
2015-02-02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,213000.0,95016.12143911883,192000.0,340600.0,83700.0,0,0,0,0,226400.0
2015-02-03,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,196685.7142857143,77677.8481630261,192000.0,312400.0,83700.0,0,0,0,0,226300.0
2015-02-04,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,203100.0,78058.14072429201,226300.0,312400.0,83700.0,0,0,0,0,190300.0
2015-02-05,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,185657.14285714287,61435.62639443201,192000.0,256900.0,83700.0,0,0,0,0,208300.0
2015-02-06,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,178714.2857142857,54384.0487818331,192000.0,226400.0,83700.0,0,0,0,0,182100.0
2015-02-07,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,177300.0,54108.994939227756,190300.0,226400.0,83700.0,0,0,0,0,71300.0
2015-02-08,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,169771.42857142858,65275.12834880084,190300.0,226400.0,71300.0,0,0,0,0,49100.0
2015-02-09,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,164828.57142857142,73651.58324357838,190300.0,226400.0,49100.0,0,0,0,0,283500.0
2015-02-10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,172985.7142857143,84037.1233160568,190300.0,283500.0,49100.0,0,0,0,0,249000.0
2015-02-11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,176228.57142857142,86828.92594609484,190300.0,283500.0,49100.0,0,0,0,0,154500.0
2015-02-12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,171114.2857142857,86916.25142575354,182100.0,283500.0,49100.0,0,0,0,0,164000.0
2015-02-13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,164785.7142857143,85356.20322256298,164000.0,283500.0,49100.0,0,0,0,0,113900.0
2015-02-14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,155042.85714285713,86928.32022501586,154500.0,283500.0,49100.0,0,0,0,0,48500.0
2015-02-15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,151785.7142857143,90924.37202736939,154500.0,283500.0,48500.0,0,0,0,0,32600.0
2015-02-16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,149428.57142857142,94185.48568800693,154500.0,283500.0,32600.0,0,0,0,0,96300.0
2015-02-17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,122685.71428571429,74236.86030922561,113900.0,249000.0,32600.0,0,0,0,0,71500.0
2015-02-18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97328.57142857143,50382.62644621753,96300.0,164000.0,32600.0,0,0,0,0,158600.0
2015-02-19,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,97914.28571428571,51175.62663910245,96300.0,164000.0,32600.0,0,0,0,0,183800.0
2015-02-20,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100742.85714285714,55777.38063477202,96300.0,183800.0,32600.0,1,1,1,1,2915200.0
2015-02-21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500928.5714285714,1066038.0195131968,96300.0,2915200.0,32600.0,0,0,0,0,803200.0
2015-02-22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,608742.8571428572,1050708.5955949647,158600.0,2915200.0,32600.0,0,0,0,0,293400.0
2015-02-23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,646000.0,1031319.1536409409,183800.0,2915200.0,71500.0,0,0,0,0,258800.0
2015-02-24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,669214.2857142857,1018634.4297286301,258800.0,2915200.0,71500.0,0,0,0,0,700200.0
2015-02-25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,759028.5714285715,984287.2306298363,293400.0,2915200.0,158600.0,0,0,0,0,533500.0
2015-02-26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,812585.7142857143,955963.5809460725,533500.0,2915200.0,183800.0,0,0,0,0,412100.0
2015-02-27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,845200.0,934591.6844626142,533500.0,2915200.0,258800.0,0,0,0,0,376600.0
2015-02-28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,482542.85714285716,206080.17741599848,412100.0,803200.0,258800.0,0,0,0,0,108400.0
2015-03-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,383285.71428571426,192791.87766925752,376600.0,700200.0,108400.0,0,0,0,0,90000.0
2015-03-02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,354228.5714285714,221750.27030637919,376600.0,700200.0,90000.0,0,0,0,0,169000.0
2015-03-03,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,341400.0,230611.54206442743,376600.0,700200.0,90000.0,0,0,0,0,181000.0
2015-03-04,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,267228.5714285714,172032.46509777996,181000.0,533500.0,90000.0,0,0,0,0,247700.0
2015-03-05,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,226400.0,126084.03282467277,181000.0,412100.0,90000.0,0,0,0,0,286600.0
2015-03-06,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,208471.42857142858,101876.24378440183,181000.0,376600.0,90000.0,0,0,0,0,182700.0
2015-03-07,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,180771.42857142858,69879.1030825301,181000.0,286600.0,90000.0,0,0,0,0,167600.0
2015-03-08,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,189228.57142857142,62893.73880564107,181000.0,286600.0,90000.0,0,0,0,0,123800.0
